customer_state,freq_customer_state
SP,0.4211488664588067
RJ,0.12800295936162343
MG,0.1178248692067854
RS,0.055466892141837976
PR,0.05105955715267135
SC,0.03680177561697405
BA,0.033757860804312215
ES,0.020789515404534165
GO,0.020039105850023782
DF,0.019922845214817946
PE,0.016593563388469058
CE,0.013295989008085398
PA,0.00976589335729007
MT,0.0091845901812609
MA,0.007451249801828463
MS,0.0072927125720023255
PB,0.005316281773503144
RN,0.004925223273265339
PI,0.004925223273265339
AL,0.004143106272789727
SE,0.003508957353485177
TO,0.002843100988215399
RO,0.002483749933942821
AM,0.00152195740633092
AC,0.0008138244464408392
AP,0.0007081329598900808
RR,0.0004121967975479575
